"username"	"date"	"retweets"	"favorites"	"text"	"geo"	"mentions"	"hashtags"	"id"	"permalink"
"JuliyanaLeslie"	"2016-12-18 14:11"	0	0	"#farmers have worked2see,we have food on our tables! 2day #Demonetisation has left 1000s of them with no crop, job,cash & many starving :("	""	""	"#farmers #Demonetisation"	"810404579787571200"	"https://twitter.com/JuliyanaLeslie/status/810404579787571200"
"roshanindia"	"2016-12-20 00:51"	0	0	"@VishalDadlani Country is run & ruled by politicians. V R just ignorant blackmoneyfull voters. #DeMonetisation We don't have any right :( https://twitter.com/VishalDadlani/status/810926649709563904 …"	""	"@VishalDadlani"	"#DeMonetisation"	"810927975789109250"	"https://twitter.com/roshanindia/status/810927975789109250"
"deva0203"	"2016-12-19 10:52"	0	0	"My learned friends still believe that #demonetisation a failure because of wrong decision. Corrupts have ensured all possible tactics :( https://twitter.com/aajtak/status/810713918356062208 …"	""	""	"#demonetisation"	"810716855107198976"	"https://twitter.com/deva0203/status/810716855107198976"
"sameerjgupte"	"2016-12-21 00:30"	0	0	"मित्रोंऽऽऽऽ म्हणताना रो शब्दावर जोर का द्यायचे ते आता कळतंय #Demonetisation :("	""	""	"#Demonetisation"	"811285271907954688"	"https://twitter.com/sameerjgupte/status/811285271907954688"
"JointVentur"	"2016-12-20 23:19"	3	2	"#DeMonetisation hit me harder today when #Paytm servers went down. :("	""	""	"#DeMonetisation #Paytm"	"811267289097990144"	"https://twitter.com/JointVentur/status/811267289097990144"
"jijothomas"	"2016-12-20 22:55"	0	0	"Unable to add money in @Paytm now. Stuck at a shop :( #DeMonetisation"	""	"@Paytm"	"#DeMonetisation"	"811261213321654280"	"https://twitter.com/jijothomas/status/811261213321654280"
"LordFartVader"	"2016-12-20 22:19"	0	0	"Yes.. coz black Mein Daaru bechne wale don't take cards :( #DeMonetisation #NarendraModi #CashlessEconomyhttps://twitter.com/beastoftraal/status/811068913567969280 …"	""	""	"#DeMonetisation #NarendraModi #CashlessEconomyhttps"	"811252145764732928"	"https://twitter.com/LordFartVader/status/811252145764732928"
"LegalKant"	"2016-12-20 21:13"	0	0	"@Bodhisatvaa Indian banking sector is corrupt to the core. So it was expected. Strangely not one politicians nabbed post #DeMonetisation :("	""	"@Bodhisatvaa"	"#DeMonetisation"	"811235548752912384"	"https://twitter.com/LegalKant/status/811235548752912384"
"sango20"	"2016-12-20 18:24"	0	0	"@friendscongress WORST thing is wth the likes of ths crafty duo...they will find a way2make #DeMonetisation work :( EVEN tho its agnst peeps"	""	"@friendscongress"	"#DeMonetisation"	"811193037166559232"	"https://twitter.com/sango20/status/811193037166559232"
"JuliyanaLeslie"	"2016-12-20 16:48"	0	1	"Rightly said @magicbricksNOW India in the way to less-cash economy!! #Demonetisation Many have less cash or no-cash, lakhs lost jobs :("	""	"@magicbricksNOW"	"#Demonetisation"	"811168897793748999"	"https://twitter.com/JuliyanaLeslie/status/811168897793748999"
"abhikm82"	"2016-12-20 11:44"	0	0	"#DeMonetisation Any idea...when is the RBI and Banks are cutting lending rates ? Home loan, personal loan, business loans etc still same :("	""	""	"#DeMonetisation"	"811092292945620992"	"https://twitter.com/abhikm82/status/811092292945620992"
"j_sriram"	"2016-12-20 11:31"	0	0	"#DeMonetisation Trying to use @Paytm on @Uber_India Failed to retrieve credit balance message. Support not helping :-( Reinstall no use:-("	""	"@Paytm @Uber_India"	"#DeMonetisation"	"811089056943599616"	"https://twitter.com/j_sriram/status/811089056943599616"
"AshonIndia"	"2016-12-21 16:11"	0	0	"Sad news of People elected to serve their own, doing this money laundering biz. http://www.ironyofindia.com/2016/12/bjp-leader-raided-by-i-t-department-unearthed-biggest-blackmoney-laundry-racket/ … :-( #Demonetisation #BlackMoney"	""	""	"#Demonetisation #BlackMoney"	"811522076737765377"	"https://twitter.com/AshonIndia/status/811522076737765377"
"nathan_jagan"	"2016-12-21 13:58"	0	0	"at this point #DeMonetisation is becoming pointless :( https://twitter.com/vikramchandra/status/811484000506105856 …"	""	""	"#DeMonetisation"	"811488567088201728"	"https://twitter.com/nathan_jagan/status/811488567088201728"
"nramesh001"	"2016-12-21 10:21"	0	0	"@ZeeNews @girikesavan but it is a show of solidarity with the aam aadmi (party) affected by #DeMonetisation :( :)"	""	"@ZeeNews @girikesavan"	"#DeMonetisation"	"811433846835023872"	"https://twitter.com/nramesh001/status/811433846835023872"
"carona_m"	"2016-12-21 09:05"	0	0	"Been searching for 100 rupee notes to pay maid's salary and maam coolly asks for 2000 ones saying what's the fuss? :( :( #DeMonetisation"	""	""	"#DeMonetisation"	"811414861057929216"	"https://twitter.com/carona_m/status/811414861057929216"
"aakashmehrotra"	"2016-12-22 18:11"	0	1	"@jimmy9_girl @scotchism Most indians turned Pakis when PM revealed those against #DeMonetisation are Pakis :("	""	"@jimmy9_girl @scotchism"	"#DeMonetisation"	"811914557463535616"	"https://twitter.com/aakashmehrotra/status/811914557463535616"
"abhikm82"	"2016-12-22 11:07"	0	0	"#demonetization RBI...flip-flops, lending rate to kum karva do. Ab to 50 din ko sirf 6 din baaki hain :("	""	""	"#demonetization"	"811807803316662272"	"https://twitter.com/abhikm82/status/811807803316662272"
"ggmarquez"	"2016-12-22 10:49"	0	0	"I mugged dialogues from films when I went to deposit $ esp. this, but nobody asked me anything :( #DeMonetisation https://www.youtube.com/watch?v=jKI0IJY5jp8 …"	""	""	"#DeMonetisation"	"811803421879635968"	"https://twitter.com/ggmarquez/status/811803421879635968"
"sango20"	"2016-12-22 08:21"	1	2	"ohh! Thts so sad :( #DEMONetisation strikes in all directions. Who cares if it will all b good LATER? Wht about those who wont recover NOW ? https://twitter.com/_kunal_pradhan/status/811761855605579777 …"	""	""	"#DEMONetisation"	"811766178456551424"	"https://twitter.com/sango20/status/811766178456551424"
"indianwizkid"	"2016-12-24 16:23"	0	0	"Fucking digital India #agitated without #money :-( #DeMonetisation"	""	""	"#agitated #money #DeMonetisation"	"812612188179337216"	"https://twitter.com/indianwizkid/status/812612188179337216"
"AAPforINDIA"	"2016-12-24 12:20"	117	72	"New York Times ने #DeMonetisation को बताया आत्मघाती !! भारत की साख की विदेशों में उड़ी धज्जियां :( pic.twitter.com/oyKKhX7D8v"	""	""	"#DeMonetisation"	"812550993649008640"	"https://twitter.com/AAPforINDIA/status/812550993649008640"
"abhikm82"	"2016-12-26 14:01"	0	0	"#DeMonetisation Bought vegetables at Rs10/- per.kg Worrying part, how much are the vendors paying to farmers ??? :("	""	""	"#DeMonetisation"	"813301221666627586"	"https://twitter.com/abhikm82/status/813301221666627586"
"swetlanakorni"	"2016-12-26 13:07"	0	0	"Mera number kab aayega :-( #DeMonetisation"	""	""	"#DeMonetisation"	"813287592238018560"	"https://twitter.com/swetlanakorni/status/813287592238018560"
"atinverma"	"2016-12-26 12:47"	0	0	"This is insane :( #DeMonetisation #AxisBank #500 #1000https://twitter.com/bolshoybooze/status/809377184498536448 …"	""	""	"#DeMonetisation #AxisBank #500 #1000https"	"813282546624696320"	"https://twitter.com/atinverma/status/813282546624696320"
"vizagobelix"	"2016-12-27 20:36"	1	1	"Hey, @TataCompanies. Your own internal nonsense is what has hit your companies worse. #DeMonetisation will pass. Your selfgoal won't :( https://twitter.com/moneycontrolcom/status/813760058659999744 …"	""	"@TataCompanies"	"#DeMonetisation"	"813763068513554433"	"https://twitter.com/vizagobelix/status/813763068513554433"
"TupTamizha"	"2016-12-28 17:34"	0	0	"Waste Godown (next to home) is handled by a new relative now. Sister was to take cash & keep if any biz was done #DeMonetisation spoilt :-("	""	""	"#DeMonetisation"	"814079450316836868"	"https://twitter.com/TupTamizha/status/814079450316836868"
"ggmarquez"	"2016-12-28 16:52"	0	1	"I'm not a greedy grandson (Ed-Of course not !) but citing #DeMonetisation, my Gran gave me only Rs. 100. Sad :( https://twitter.com/ggmarquez/status/813688618539593728 …"	""	""	"#DeMonetisation"	"814069070748233728"	"https://twitter.com/ggmarquez/status/814069070748233728"
"pratyushmayank"	"2016-12-28 15:49"	0	0	"RT AAPforINDIA: आजादी के 70 साल बाद भी परिवार भूखा सो रहा है, और राजा हर घँटे कपड़े बदल रहा है :( #DeMonetisation pic.twitter.com/DtQ05s6oC3"	""	""	"#DeMonetisation"	"814053138206523392"	"https://twitter.com/pratyushmayank/status/814053138206523392"
"ritesh_ks"	"2016-12-28 13:48"	1	1	"@ettirankandath polls outcome will surely be linked to #demonetisation whether one likes it or not :-("	""	"@ettirankandath"	"#demonetisation"	"814022615538941952"	"https://twitter.com/ritesh_ks/status/814022615538941952"
"amartadi"	"2016-12-28 13:27"	1	0	"Maths subject in Bcom : ( Thank god he is not the education minister of #AndhraPradesh. #whatsappfwd @JaiTDP #vijayawada #DeMonetisation pic.twitter.com/sOhJiuy1bY"	""	"@JaiTDP"	"#AndhraPradesh #whatsappfwd #vijayawada #DeMonetisation"	"814017378975522817"	"https://twitter.com/amartadi/status/814017378975522817"
"Isaipuyalfan"	"2016-12-28 09:51"	0	2	"#demonetization hits half century. Still honest and hardworking Indians continues to stand in queue for thier own money @narendramodi :("	""	"@narendramodi"	"#demonetization"	"813962995134959617"	"https://twitter.com/Isaipuyalfan/status/813962995134959617"
"_EnCounter"	"2016-12-29 21:32"	0	0	"இப்ப இதைப்படிச்சா சுவத்துல முட்டிக்கணும்போல இருக்கு :-( #DeMonetisation https://twitter.com/_EnCounter/status/796055790196953088 …"	""	""	"#DeMonetisation"	"814501735339175937"	"https://twitter.com/_EnCounter/status/814501735339175937"
"CyberTrollers"	"2016-12-29 14:59"	0	0	"രണ്ടീസം കൂടിയേ ബാക്കിയുള്ളൂ... പാവല്ലേ...? :( #Current_affairs #modi #thallal #Demonetization Credit : Rijo... http://fb.me/2EJ3K5RVL "	""	""	"#Current_affairs #modi #thallal #Demonetization"	"814402955550064640"	"https://twitter.com/CyberTrollers/status/814402955550064640"
"iSameerBhagat"	"2016-12-29 10:50"	0	0	"PM Modi's #DeMonetization reminded of the fiat in 1972 of Ugandan dictator, Idi Amin that all Asians should quit Uganda within 3 months :-( https://twitter.com/ttindia/status/813932219135688704 …"	""	""	"#DeMonetization"	"814340281747312641"	"https://twitter.com/iSameerBhagat/status/814340281747312641"
"digitalclay"	"2016-12-29 10:25"	0	0	"Huge fine for people holding old notes after 30th Dec! There go my plans for using them for #monopoly money :( #DeMonetisation"	""	""	"#monopoly #DeMonetisation"	"814333914462453761"	"https://twitter.com/digitalclay/status/814333914462453761"
